2025-09-15 21:51:13,345 - INFO - <module>:100 - Creating data directory: lighter_data
2025-09-15 21:51:13,346 - INFO - <module>:102 - Data directory created successfully
2025-09-15 21:51:13,346 - INFO - main:347 - === Starting Lighter DEX Data Collector ===
2025-09-15 21:51:13,346 - INFO - main:348 - Tracking symbols: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:13,347 - INFO - main:352 - Initializing API client...
2025-09-15 21:51:13,352 - INFO - main:355 - ✓ API client initialized
2025-09-15 21:51:13,352 - INFO - main:358 - Discovering market IDs...
2025-09-15 21:51:13,352 - DEBUG - get_market_id:149 - Getting market ID for symbol: ETH
2025-09-15 21:51:14,915 - INFO - get_market_id:156 - Found market ID 0 for symbol ETH
2025-09-15 21:51:14,915 - DEBUG - get_market_id:149 - Getting market ID for symbol: BTC
2025-09-15 21:51:15,223 - INFO - get_market_id:156 - Found market ID 1 for symbol BTC
2025-09-15 21:51:15,224 - DEBUG - get_market_id:149 - Getting market ID for symbol: PAXG
2025-09-15 21:51:15,523 - INFO - get_market_id:156 - Found market ID 48 for symbol PAXG
2025-09-15 21:51:15,523 - INFO - main:370 - ✓ Mapped 3 markets: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:15,524 - INFO - main:376 - Starting background tasks...
2025-09-15 21:51:15,524 - INFO - main:385 - ✓ All tasks started
2025-09-15 21:51:15,524 - INFO - main:386 - === Data collector is running (Press Ctrl+C to stop) ===
2025-09-15 21:51:15,524 - INFO - write_buffers_to_csv:207 - Starting CSV writer with 5s intervals...
2025-09-15 21:51:15,525 - INFO - fetch_recent_trades_periodically:168 - Starting periodic trade fetching...
2025-09-15 21:51:15,525 - INFO - websocket_manager:321 - Creating WebSocket client for 3 markets...
2025-09-15 21:51:18,642 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,648 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,648 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,654 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,659 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,664 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,665 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,670 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,671 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,675 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,690 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,691 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,697 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,699 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,705 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,719 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,733 - INFO - fetch_recent_trades_periodically:195 - Added 1 new trades for ETH
2025-09-15 21:51:18,742 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,745 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,749 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,757 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
